habitable_surface,bedrooms_count,post_code,num_facade,target
200.0,3.0,1300,4.0,495000.0
122.0,2.0,2160,3.0,200000.0
400.0,5.0,1315,3.0,365000.0
148.0,2.0,4870,3.0,85000.0
250.0,4.0,1600,4.0,649000.0
105.0,3.0,5560,3.0,250000.0
173.0,3.0,4020,3.0,315000.0
100.0,2.0,6224,3.0,280000.0
355.0,3.0,1910,4.0,578000.0
113.0,3.0,4030,2.0,115000.0
236.0,3.0,9500,3.0,169000.0
240.0,5.0,1476,4.0,650000.0
183.0,2.0,7800,3.0,190000.0
155.0,3.0,7190,4.0,220000.0
170.0,3.0,2300,4.0,399000.0
77.0,2.0,4610,3.0,229000.0
358.0,5.0,1970,3.0,895000.0
107.0,3.0,1150,3.0,475000.0
150.0,2.0,9190,3.0,335000.0
100.0,2.0,6224,3.0,280000.0
165.0,4.0,8340,4.0,345000.0
178.0,4.0,5560,3.0,240000.0
225.0,4.0,3090,4.0,695000.0
100.0,2.0,6224,3.0,280000.0
178.0,3.0,8660,3.0,315000.0
358.0,5.0,1970,3.0,895000.0
155.0,3.0,7190,4.0,220000.0
173.0,3.0,4020,3.0,315000.0
200.0,5.0,7330,3.0,190000.0
228.0,3.0,9470,3.0,345000.0
155.0,3.0,7190,4.0,220000.0
90.0,2.0,7110,2.0,145000.0
186.0,3.0,1840,4.0,495000.0
155.0,3.0,7190,4.0,220000.0
156.0,3.0,8000,2.0,329000.0
77.0,2.0,4610,3.0,229000.0
400.0,5.0,1640,4.0,990000.0
163.0,2.0,2870,3.0,285000.0
115.0,2.0,6540,2.0,119000.0
110.0,3.0,9000,2.0,310000.0
155.0,3.0,7190,4.0,220000.0
187.0,3.0,1300,4.0,690000.0
234.0,4.0,6032,3.0,188000.0
115.0,4.0,7000,2.0,185000.0
300.0,4.0,4480,2.0,299000.0
358.0,5.0,1970,3.0,895000.0
77.0,2.0,4610,3.0,229000.0
107.0,3.0,1150,3.0,475000.0
195.0,4.0,6596,4.0,298000.0
100.0,2.0,6224,3.0,280000.0
163.0,4.0,1435,4.0,395000.0
369.0,3.0,5550,3.0,290000.0
400.0,4.0,2660,3.0,745000.0
90.0,2.0,4340,2.0,190000.0
142.0,3.0,6140,4.0,229000.0
155.0,4.0,6980,3.0,119000.0
174.0,4.0,3220,4.0,586000.0
155.0,2.0,8870,4.0,348000.0
122.0,3.0,2610,2.0,269000.0
107.0,3.0,1150,3.0,475000.0
183.0,4.0,4610,3.0,135000.0
200.0,4.0,1490,2.0,375000.0
155.0,3.0,7190,4.0,220000.0
166.0,2.0,1490,2.0,360000.0
77.0,2.0,4610,3.0,229000.0
175.0,2.0,9500,3.0,445000.0
290.0,3.0,1861,4.0,1175000.0
155.0,3.0,7190,4.0,220000.0
260.0,2.0,2570,6.0,519000.0
210.0,4.0,5020,4.0,950000.0
165.0,3.0,1501,4.0,525000.0
80.0,2.0,4040,4.0,215000.0
234.0,5.0,7140,2.0,159000.0
358.0,5.0,1970,3.0,895000.0
183.0,4.0,4610,3.0,135000.0
173.0,3.0,4020,3.0,315000.0
131.0,3.0,5590,4.0,275000.0
358.0,5.0,1970,3.0,895000.0
173.0,3.0,4020,3.0,315000.0
77.0,2.0,4610,3.0,229000.0
155.0,3.0,7190,4.0,220000.0
190.0,3.0,9120,3.0,399000.0
183.0,4.0,4610,3.0,135000.0
295.0,3.0,3010,2.0,815000.0
78.0,2.0,9255,3.0,160000.0
150.0,4.0,4000,2.0,295000.0
177.0,4.0,8020,3.0,275000.0
173.0,3.0,4020,3.0,315000.0
82.0,2.0,1950,2.0,330000.0
358.0,5.0,1970,3.0,895000.0
212.0,3.0,9120,2.0,430000.0
112.0,3.0,1428,4.0,375000.0
86.0,2.0,9230,2.0,189000.0
211.0,3.0,9850,2.0,268000.0
96.0,2.0,6030,2.0,155000.0
143.0,4.0,4020,3.0,437655.0
155.0,3.0,7190,4.0,220000.0
182.0,4.0,3840,4.0,248000.0
183.0,4.0,4610,3.0,135000.0
146.0,3.0,6141,2.0,225000.0
160.0,4.0,1650,4.0,489000.0
220.0,4.0,3201,4.0,598000.0
110.0,2.0,6182,2.0,179000.0
230.0,4.0,1050,2.0,625000.0
358.0,5.0,1970,3.0,895000.0
200.0,4.0,8500,2.0,444000.0
144.0,4.0,4000,2.0,130000.0
220.0,3.0,2350,3.0,365000.0
160.0,3.0,2100,2.0,395000.0
77.0,2.0,4610,3.0,229000.0
160.0,3.0,9320,4.0,295000.0
183.0,4.0,4610,3.0,135000.0
183.0,4.0,4610,3.0,135000.0
173.0,3.0,4020,3.0,315000.0
315.0,4.0,9550,4.0,375000.0
176.0,3.0,1200,3.0,675000.0
144.0,3.0,4602,3.0,461246.0
155.0,3.0,7190,4.0,220000.0
107.0,2.0,6180,2.0,125000.0
100.0,2.0,6224,3.0,280000.0
198.0,4.0,6141,2.0,200000.0
212.0,4.0,8310,4.0,475000.0
120.0,2.0,4420,3.0,178000.0
230.0,4.0,4870,3.0,105000.0
100.0,2.0,7380,2.0,39000.0
140.0,4.0,2140,2.0,249000.0
173.0,3.0,4020,3.0,315000.0
90.0,2.0,4101,2.0,85000.0
171.0,3.0,4470,2.0,229500.0
120.0,2.0,6220,3.0,175000.0
212.0,4.0,1673,4.0,395000.0
183.0,4.0,4610,3.0,135000.0
183.0,4.0,4610,3.0,135000.0
221.0,3.0,9500,3.0,219000.0
190.0,3.0,1070,2.0,349000.0
91.0,3.0,9500,2.0,165000.0
80.0,2.0,6940,4.0,295000.0
139.0,2.0,2900,2.0,269500.0
183.0,4.0,4610,3.0,135000.0
155.0,3.0,7190,4.0,220000.0
